Printed on: 2013-10-8 13:10:33
Date	Part number	Serial number	Status	Wave.	Fiber	IL	Refl.	IL A	Refl.A	IL B	Refl.B
2013-2-6 4:55:53	FC/PC	20130206-001	Passed	850nm	1	n/a	n/a	0.01	n/a	-0.01	n/a
2013-2-6 4:55:53	FC/PC	20130206-001	Passed	1300nm	1	n/a	n/a	0.01	n/a	0.01	n/a
2013-2-6 4:55:56	FC/PC	20130206-002	Passed	850nm	1	n/a	n/a	0.01	n/a	-0.00	n/a
2013-2-6 4:55:56	FC/PC	20130206-002	Passed	1300nm	1	n/a	n/a	0.01	n/a	0.02	n/a
2013-2-6 4:55:58	FC/PC	20130206-003	Passed	850nm	1	n/a	n/a	0.01	n/a	0.01	n/a
2013-2-6 4:55:58	FC/PC	20130206-003	Passed	1300nm	1	n/a	n/a	0.01	n/a	0.01	n/a
2013-2-6 4:56:01	FC/PC	20130206-004	Passed	850nm	1	n/a	n/a	-0.01	n/a	0.01	n/a
2013-2-6 4:56:01	FC/PC	20130206-004	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:56:04	FC/PC	20130206-005	Passed	850nm	1	n/a	n/a	0.01	n/a	0.01	n/a
2013-2-6 4:56:04	FC/PC	20130206-005	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:56:07	FC/PC	20130206-006	Passed	850nm	1	n/a	n/a	-0.00	n/a	0.01	n/a
2013-2-6 4:56:07	FC/PC	20130206-006	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.01	n/a
2013-2-6 4:56:10	FC/PC	20130206-007	Passed	850nm	1	n/a	n/a	0.00	n/a	0.01	n/a
2013-2-6 4:56:10	FC/PC	20130206-007	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:56:12	FC/PC	20130206-008	Passed	850nm	1	n/a	n/a	0.01	n/a	0.00	n/a
2013-2-6 4:56:12	FC/PC	20130206-008	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:56:15	FC/PC	20130206-009	Passed	850nm	1	n/a	n/a	0.01	n/a	0.01	n/a
2013-2-6 4:56:15	FC/PC	20130206-009	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:56:18	FC/PC	20130206-010	Passed	850nm	1	n/a	n/a	-0.00	n/a	0.01	n/a
2013-2-6 4:56:18	FC/PC	20130206-010	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:56:21	FC/PC	20130206-011	Passed	850nm	1	n/a	n/a	0.01	n/a	-0.00	n/a
2013-2-6 4:56:21	FC/PC	20130206-011	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.01	n/a
2013-2-6 4:56:24	FC/PC	20130206-012	Passed	850nm	1	n/a	n/a	0.01	n/a	-0.00	n/a
2013-2-6 4:56:24	FC/PC	20130206-012	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:56:26	FC/PC	20130206-013	Passed	850nm	1	n/a	n/a	0.01	n/a	0.01	n/a
2013-2-6 4:56:26	FC/PC	20130206-013	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:56:29	FC/PC	20130206-014	Passed	850nm	1	n/a	n/a	0.01	n/a	-0.00	n/a2013-2-6 4:56:29	FC/PC	20130206-014	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:56:32	FC/PC	20130206-015	Passed	850nm	1	n/a	n/a	0.01	n/a	-0.01	n/a
2013-2-6 4:56:32	FC/PC	20130206-015	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:56:35	FC/PC	20130206-016	Passed	850nm	1	n/a	n/a	0.00	n/a	0.01	n/a
2013-2-6 4:56:35	FC/PC	20130206-016	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.01	n/a
2013-2-6 4:56:38	FC/PC	20130206-017	Passed	850nm	1	n/a	n/a	-0.00	n/a	0.00	n/a
2013-2-6 4:56:38	FC/PC	20130206-017	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:56:41	FC/PC	20130206-018	Passed	850nm	1	n/a	n/a	0.01	n/a	0.01	n/a
2013-2-6 4:56:41	FC/PC	20130206-018	Passed	1300nm	1	n/a	n/a	0.01	n/a	0.02	n/a
2013-2-6 4:56:43	FC/PC	20130206-019	Passed	850nm	1	n/a	n/a	0.01	n/a	-0.00	n/a
2013-2-6 4:56:43	FC/PC	20130206-019	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:56:46	FC/PC	20130206-020	Passed	850nm	1	n/a	n/a	0.01	n/a	-0.01	n/a
2013-2-6 4:56:46	FC/PC	20130206-020	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:56:49	FC/PC	20130206-021	Passed	850nm	1	n/a	n/a	-0.00	n/a	0.01	n/a
2013-2-6 4:56:49	FC/PC	20130206-021	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:56:52	FC/PC	20130206-022	Passed	850nm	1	n/a	n/a	0.01	n/a	-0.00	n/a
2013-2-6 4:56:52	FC/PC	20130206-022	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:56:55	FC/PC	20130206-023	Passed	850nm	1	n/a	n/a	0.01	n/a	0.00	n/a
2013-2-6 4:56:55	FC/PC	20130206-023	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.01	n/a
2013-2-6 4:56:57	FC/PC	20130206-024	Passed	850nm	1	n/a	n/a	0.01	n/a	0.01	n/a
2013-2-6 4:56:57	FC/PC	20130206-024	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.01	n/a
2013-2-6 4:57:00	FC/PC	20130206-025	Passed	850nm	1	n/a	n/a	0.00	n/a	0.00	n/a
2013-2-6 4:57:00	FC/PC	20130206-025	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:57:03	FC/PC	20130206-026	Passed	850nm	1	n/a	n/a	0.01	n/a	0.01	n/a
2013-2-6 4:57:03	FC/PC	20130206-026	Passed	1300nm	1	n/a	n/a	0.01	n/a	0.01	n/a
2013-2-6 4:57:06	FC/PC	20130206-027	Passed	850nm	1	n/a	n/a	-0.01	n/a	0.01	n/a
2013-2-6 4:57:06	FC/PC	20130206-027	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:57:09	FC/PC	20130206-028	Passed	850nm	1	n/a	n/a	0.01	n/a	0.00	n/a
2013-2-6 4:57:09	FC/PC	20130206-028	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.01	n/a
2013-2-6 4:57:11	FC/PC	20130206-029	Passed	850nm	1	n/a	n/a	0.01	n/a	0.00	n/a
2013-2-6 4:57:11	FC/PC	20130206-029	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:57:14	FC/PC	20130206-030	Passed	850nm	1	n/a	n/a	0.01	n/a	-0.01	n/a2013-2-6 4:57:14	FC/PC	20130206-030	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.01	n/a
2013-2-6 4:57:17	FC/PC	20130206-031	Passed	850nm	1	n/a	n/a	0.01	n/a	-0.00	n/a
2013-2-6 4:57:17	FC/PC	20130206-031	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:57:20	FC/PC	20130206-032	Passed	850nm	1	n/a	n/a	-0.00	n/a	0.01	n/a
2013-2-6 4:57:20	FC/PC	20130206-032	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.01	n/a
2013-2-6 4:57:22	FC/PC	20130206-033	Passed	850nm	1	n/a	n/a	-0.00	n/a	0.01	n/a
2013-2-6 4:57:22	FC/PC	20130206-033	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:57:25	FC/PC	20130206-034	Passed	850nm	1	n/a	n/a	0.01	n/a	0.00	n/a
2013-2-6 4:57:25	FC/PC	20130206-034	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.01	n/a
2013-2-6 4:57:28	FC/PC	20130206-035	Passed	850nm	1	n/a	n/a	0.01	n/a	0.00	n/a
2013-2-6 4:57:28	FC/PC	20130206-035	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:57:31	FC/PC	20130206-036	Passed	850nm	1	n/a	n/a	0.01	n/a	0.01	n/a
2013-2-6 4:57:31	FC/PC	20130206-036	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:57:34	FC/PC	20130206-037	Passed	850nm	1	n/a	n/a	0.00	n/a	0.01	n/a
2013-2-6 4:57:34	FC/PC	20130206-037	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:57:37	FC/PC	20130206-038	Passed	850nm	1	n/a	n/a	0.00	n/a	-0.01	n/a
2013-2-6 4:57:37	FC/PC	20130206-038	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:57:39	FC/PC	20130206-039	Passed	850nm	1	n/a	n/a	0.01	n/a	0.00	n/a
2013-2-6 4:57:39	FC/PC	20130206-039	Passed	1300nm	1	n/a	n/a	0.01	n/a	0.01	n/a
2013-2-6 4:57:42	FC/PC	20130206-040	Passed	850nm	1	n/a	n/a	0.01	n/a	-0.00	n/a
2013-2-6 4:57:42	FC/PC	20130206-040	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:57:45	FC/PC	20130206-041	Passed	850nm	1	n/a	n/a	0.00	n/a	0.01	n/a
2013-2-6 4:57:45	FC/PC	20130206-041	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.02	n/a
2013-2-6 4:57:48	FC/PC	20130206-042	Passed	850nm	1	n/a	n/a	0.01	n/a	0.01	n/a
2013-2-6 4:57:48	FC/PC	20130206-042	Passed	1300nm	1	n/a	n/a	0.02	n/a	0.01	n/a
2013-2-6 4:57:50	FC/PC	20130206-043	Passed	850nm	1	n/a	n/a	-0.00	n/a	0.01	n/a
